timestamp,station_id,location,charger_type,sessions,energy_kwh,price_per_kwh,revenue,utilization_pct
2025-01-01 00:00:00,EV001,Central Business District,Fast,28,576.57,16.19,9332.46,62.22
2025-01-01 01:00:00,EV001,Central Business District,Fast,30,666.39,14.04,9357.48,66.67
2025-01-01 02:00:00,EV001,Central Business District,Fast,23,528.05,16.63,8780.92,51.11
2025-01-01 03:00:00,EV001,Central Business District,Fast,27,636.57,17.8,11332.27,60.0
2025-01-01 04:00:00,EV001,Central Business District,Fast,28,691.27,15.42,10658.97,62.22
2025-01-01 05:00:00,EV001,Central Business District,Fast,18,635.2,17.74,11269.48,40.0
2025-01-01 06:00:00,EV001,Central Business District,Fast,21,421.14,16.51,6950.94,46.67
2025-01-01 07:00:00,EV001,Central Business District,Fast,44,1090.55,12.98,14152.21,97.78
2025-01-01 08:00:00,EV001,Central Business District,Fast,63,1783.02,14.39,25657.56,100.0
2025-01-01 09:00:00,EV001,Central Business District,Fast,47,1569.91,12.49,19614.08,100.0
2025-01-01 10:00:00,EV001,Central Business District,Fast,51,1508.61,13.29,20054.69,100.0
2025-01-01 11:00:00,EV001,Central Business District,Fast,28,961.99,14.54,13987.28,62.22
2025-01-01 12:00:00,EV001,Central Business District,Fast,30,738.65,16.4,12111.99,66.67
2025-01-01 13:00:00,EV001,Central Business District,Fast,20,460.2,15.02,6910.58,44.44
2025-01-01 14:00:00,EV001,Central Business District,Fast,27,635.88,17.69,11248.52,60.0
2025-01-01 15:00:00,EV001,Central Business District,Fast,21,641.95,14.35,9213.46,46.67
2025-01-01 16:00:00,EV001,Central Business District,Fast,24,523.9,16.3,8539.96,53.33
2025-01-01 17:00:00,EV001,Central Business District,Fast,50,1328.84,13.42,17828.63,100.0
2025-01-01 18:00:00,EV001,Central Business District,Fast,68,1438.16,14.56,20937.98,100.0
2025-01-01 19:00:00,EV001,Central Business District,Fast,67,1411.5,14.28,20157.52,100.0
2025-01-01 20:00:00,EV001,Central Business District,Fast,64,1615.46,13.89,22446.62,100.0
2025-01-01 21:00:00,EV001,Central Business District,Fast,50,1353.19,15.85,21449.9,100.0
2025-01-01 22:00:00,EV001,Central Business District,Fast,20,584.67,14.44,8440.1,44.44
2025-01-01 23:00:00,EV001,Central Business District,Fast,28,729.52,14.83,10821.86,62.22
2025-01-02 00:00:00,EV001,Central Business District,Fast,23,778.23,13.77,10720.13,51.11
2025-01-02 01:00:00,EV001,Central Business District,Fast,25,589.72,14.47,8534.88,55.56
2025-01-02 02:00:00,EV001,Central Business District,Fast,28,745.01,14.74,10985.15,62.22
2025-01-02 03:00:00,EV001,Central Business District,Fast,19,366.75,14.07,5160.25,42.22
2025-01-02 04:00:00,EV001,Central Business District,Fast,28,714.68,14.13,10098.59,62.22
2025-01-02 05:00:00,EV001,Central Business District,Fast,30,826.96,14.36,11873.34,66.67
2025-01-02 06:00:00,EV001,Central Business District,Fast,21,612.89,17.85,10939.51,46.67
2025-01-02 07:00:00,EV001,Central Business District,Fast,36,1041.7,15.01,15635.65,80.0
2025-01-02 08:00:00,EV001,Central Business District,Fast,51,879.7,16.43,14454.75,100.0
2025-01-02 09:00:00,EV001,Central Business District,Fast,46,1432.98,13.52,19375.23,100.0
2025-01-02 10:00:00,EV001,Central Business District,Fast,41,1058.29,17.05,18041.65,91.11
2025-01-02 11:00:00,EV001,Central Business District,Fast,30,741.55,16.39,12152.37,66.67
2025-01-02 12:00:00,EV001,Central Business District,Fast,17,406.62,13.43,5460.16,37.78
2025-01-02 13:00:00,EV001,Central Business District,Fast,28,745.58,13.05,9727.73,62.22
2025-01-02 14:00:00,EV001,Central Business District,Fast,24,473.8,13.21,6258.21,53.33
2025-01-02 15:00:00,EV001,Central Business District,Fast,21,512.85,14.04,7202.24,46.67
2025-01-02 16:00:00,EV001,Central Business District,Fast,20,501.51,16.49,8271.04,44.44
2025-01-02 17:00:00,EV001,Central Business District,Fast,59,1667.25,13.93,23217.19,100.0
2025-01-02 18:00:00,EV001,Central Business District,Fast,61,1372.52,17.05,23394.81,100.0
2025-01-02 19:00:00,EV001,Central Business District,Fast,62,1673.74,12.64,21156.38,100.0
2025-01-02 20:00:00,EV001,Central Business District,Fast,61,1686.74,13.41,22622.87,100.0
2025-01-02 21:00:00,EV001,Central Business District,Fast,56,1407.61,12.25,17247.93,100.0
2025-01-02 22:00:00,EV001,Central Business District,Fast,28,907.49,13.31,12082.25,62.22
2025-01-02 23:00:00,EV001,Central Business District,Fast,23,512.54,13.19,6762.68,51.11
2025-01-03 00:00:00,EV001,Central Business District,Fast,27,937.85,15.68,14707.26,60.0
